index,Lab 1 ,Lab 2 ,Lab 3 ,Assignment 1,Grade
1,100,96,100,97,Good
1,100,100,100,100,Good
1,100,99,100,69,OK
1,100,98,100,84,High-risk
1,100,100,100,106,Good
1,100,100,100,0,High-risk
1,0,0,0,88,High-risk
1,100,100,100,100,OK
1,0,0,0,0,High-risk
1,100,100,100,97,Good
1,0,0,0,0,High-risk
1,100,100,100,29,High-risk
1,100,0,100,92,High-risk
1,100,100,100,100,Good
1,100,100,100,0,High-risk
1,100,99,100,95,High-risk
1,0,100,100,87,Good
1,100,99,100,100,Good
1,100,100,100,100,Good
1,100,100,100,100,Good
1,100,100,100,76,OK
1,100,100,100,68,OK
1,100,100,100,0,High-risk
1,100,100,100,89,Good
1,100,100,100,99,Good
1,100,100,100,50,OK
1,100,100,100,99,Good
1,100,100,100,100,Good
1,100,100,100,100,Good
1,100,100,100,90,Good
1,100,99,100,70,Good
1,100,100,100,100,Good
1,100,100,100,79,Good
1,100,100,100,13,High-risk
1,100,100,100,92,OK
1,100,99,100,100,Good
1,100,100,100,100,High-risk
1,100,99,100,75,Good
1,100,100,100,99,Good
1,100,100,100,100,Good
1,97,100,100,85,OK
1,100,100,100,100,Good
1,100,100,100,94,High-risk
1,100,100,100,33,OK
1,100,100,100,36,High-risk
1,100,100,100,93,Good
1,100,100,100,100,Good
1,100,100,100,100,Good
1,100,100,100,65,High-risk
1,100,99,99,76,OK
1,100,99,99,94,Good
1,100,99,100,100,Good
1,100,100,100,0,High-risk
1,100,100,100,100,Good
1,100,50,100,0,High-risk
1,100,100,100,100,Good
1,100,100,100,100,Good
1,100,50,100,0,High-risk
1,100,100,100,80,Good
1,100,100,100,15,High-risk
1,100,100,100,26,High-risk
1,100,100,99,90,OK
1,100,100,99,98,OK
1,100,100,100,100,Good
1,100,100,100,95,Good
1,100,99,100,36,High-risk
1,100,100,100,73,OK
1,97,100,100,98,Good
1,100,100,100,100,OK
1,100,100,100,30,High-risk
1,100,100,100,99,Good
1,99,99,99,0,High-risk
1,100,99,100,60,Good
1,100,99,100,100,OK
1,100,100,100,100,Good
1,100,100,100,96,Good
1,100,100,98,0,High-risk
1,97,100,100,97,Good
1,100,100,100,100,Good
1,100,100,100,98,OK
1,100,100,100,100,OK
1,100,99,100,61,OK
1,100,100,100,0,High-risk
1,100,100,100,68,Good
1,100,100,100,97,Good
1,100,100,100,95,Good
1,97,100,100,100,High-risk
1,100,99,100,53,OK
1,100,100,100,90,High-risk
1,100,100,100,99,Good
1,100,100,100,9,High-risk
1,100,100,100,81,OK
1,100,100,100,89,Good
1,97,100,99,97,OK
1,100,100,99,100,Good
1,100,100,99,34,High-risk
1,100,100,100,95,High-risk
1,100,100,100,100,Good
1,100,99,100,100,Good
1,100,100,100,100,Good
1,100,100,99,93,High-risk
1,100,0,0,97,High-risk
1,100,100,100,99,Good
1,100,99,100,81,OK
1,0,100,100,88,Good
1,100,100,100,100,Good
1,100,99,100,49,High-risk
1,100,100,100,82,OK
1,100,100,100,80,High-risk
1,100,100,100,95,Good
1,100,100,90,30,High-risk
1,100,100,100,51,High-risk
1,100,100,100,90,Good
1,100,100,100,0,High-risk
1,100,100,100,96,OK
1,100,99,100,93,Good
1,100,100,100,75,High-risk
1,100,100,100,87,OK
1,100,100,100,100,Good
1,100,100,100,95,Good
1,100,100,100,74,Good
1,100,100,100,90,High-risk
1,100,100,100,0,High-risk
1,100,99,100,100,OK
1,100,100,100,97,Good
1,100,100,100,98,Good
1,100,100,100,79,OK
1,100,100,100,68,OK
1,100,100,100,72,OK
1,100,100,100,98,Good
1,100,100,100,66,OK
1,100,100,100,0,High-risk
1,100,100,100,21,High-risk
1,100,100,99,96,High-risk
1,100,100,100,100,Good
1,100,100,100,84,OK
1,100,100,100,100,Good
1,100,100,100,91,Good
1,100,100,100,100,Good
1,100,100,100,8,High-risk
1,100,100,100,96,Good
1,100,100,100,98,Good
1,100,100,100,98,OK
1,100,100,100,65,OK
1,100,100,99,100,Good
1,100,100,100,100,Good
1,100,100,100,16,High-risk
1,100,100,100,47,High-risk
1,100,100,100,100,Good
1,100,100,100,0,High-risk
1,100,100,100,86,OK
1,100,100,100,93,OK
1,100,100,100,94,OK
1,100,100,100,92,Good
1,100,100,90,90,Good
1,100,99,100,100,Good
1,100,99,100,98,Good
1,100,100,100,100,Good
1,100,100,100,88,Good
1,100,100,100,100,Good
1,100,100,99,82,High-risk
1,100,100,100,53,OK
1,100,100,100,94,Good
1,100,95,100,95,Good
1,100,100,100,96,Good
1,100,99,100,94,Good
1,100,100,100,84,High-risk
1,100,100,100,92,Good
1,100,100,100,98,Good
1,100,100,100,0,High-risk
1,100,100,100,90,High-risk
1,100,100,100,46,OK
1,100,100,100,100,Good
1,100,100,100,95,Good
1,100,100,100,81,OK
1,100,100,100,47,High-risk
1,100,100,100,85,OK
1,100,100,100,95,Good
1,100,100,100,88,OK
1,100,100,100,96,OK
1,100,100,100,83,High-risk
1,100,95,100,100,Good
1,100,100,100,81,Good
1,100,100,100,0,High-risk
1,100,100,100,100,Good
1,100,100,99,34,High-risk
1,100,100,100,86,OK
1,0,100,100,100,Good
1,100,100,100,95,Good
1,100,100,100,96,OK
1,100,100,100,78,High-risk
1,100,100,100,49,High-risk
1,100,100,100,50,High-risk
1,100,100,100,91,OK
1,100,100,100,100,Good
1,100,100,100,70,OK
1,100,100,100,73,High-risk
1,100,100,100,18,High-risk
1,100,100,100,43,High-risk
1,100,99,100,16,High-risk
1,100,98,100,100,Good
1,100,100,100,78,Good
1,100,100,100,48,High-risk
1,100,100,100,97,Good
1,100,100,100,81,Good
1,100,100,100,92,OK
1,100,100,0,70,High-risk
1,100,100,100,84,High-risk
1,100,100,100,82,Good
1,100,95,100,93,Good
1,100,100,100,98,OK
1,100,100,100,43,High-risk
1,100,100,99,74,Good
1,100,100,100,91,Good
1,100,100,0,50,High-risk
1,100,100,100,70,High-risk
1,100,100,100,98,OK
1,100,100,100,94,Good
1,100,95,100,100,Good
1,100,0,100,84,High-risk
1,100,95,100,73,High-risk
1,100,100,100,86,OK
1,0,0,0,0,High-risk
1,100,100,100,79,OK
1,100,100,100,96,OK
1,100,100,100,89,Good
1,100,100,100,81,OK
1,100,100,100,94,Good
1,100,100,100,94,Good
1,100,100,100,82,High-risk
1,0,100,100,21,OK
1,100,100,100,95,High-risk
1,100,100,100,97,OK
1,100,100,100,100,Good
1,90,100,100,56,OK
1,90,100,100,39,High-risk
1,100,100,100,100,Good
1,100,100,100,60,High-risk
1,100,100,100,90,High-risk
1,100,100,100,86,OK
1,100,100,100,38,High-risk
1,100,100,100,93,OK
1,80,100,100,48,High-risk
1,100,100,100,92,Good
1,100,100,100,96,OK
1,100,100,100,94,Good
1,100,100,100,90,Good
1,100,100,100,93,OK
1,100,100,100,100,Good
1,90,100,100,0,High-risk
1,90,100,100,97,Good
1,100,100,100,96,Good
1,100,100,100,83,Good
1,100,100,100,24,High-risk
1,100,100,100,43,High-risk
1,100,100,100,100,OK
1,100,100,100,99,Good
1,100,100,100,94,Good
1,100,100,100,80,OK
1,100,100,100,95,Good
1,90,100,100,41,High-risk
1,100,100,100,100,Good
1,100,100,100,40,OK
1,100,100,100,100,Good
1,100,100,100,24,High-risk
1,100,100,100,100,OK
1,100,100,100,15,High-risk
1,100,100,100,100,Good
1,100,100,100,57,High-risk
1,100,100,100,86,OK
1,100,100,100,95,OK
1,100,100,100,40,High-risk
1,100,0,100,19,High-risk
1,100,100,100,45,High-risk
1,100,0,0,69,High-risk
1,100,100,100,39,High-risk
1,80,100,100,87,High-risk
