index,Lab 1 ,Lab 2 ,Lab 3 ,Lab 4 ,Lab 5 ,Lab 6,Assignment 1,Assignment 2 ,Grade
1,100,100,100,100,100,100,100,100,Good
1,100,97,100,100,98,97,96,110,Good
1,100,0,100,100,95,0,0,106,High-risk
1,100,99,99,100,97,94,39,63,High-risk
1,100,100,100,100,95,0,62,63,High-risk
1,100,97,100,100,100,98,97,100,Good
1,100,100,100,100,100,98,99,100,Good
1,100,100,100,100,98,0,100,110,Good
1,100,100,100,100,100,100,99,88,Good
1,100,100,100,100,100,100,99,105,Good
1,100,100,100,100,100,100,110,115,Good
1,100,100,100,100,95,100,40,0,High-risk
1,100,100,99,99,100,97,0,58,High-risk
1,100,97,100,100,100,100,100,100,Good
1,100,99,100,99,100,99,57,105,OK
1,100,100,100,100,100,98,97,109,Good
1,100,100,100,100,98,100,100,103,Good
1,100,100,100,100,95,100,89,105,Good
1,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,53,69,High-risk
1,100,97,100,100,100,97,97,95,Good
1,100,100,100,100,97,96,86,104,Good
1,100,100,100,100,92,100,95,54,High-risk
1,100,100,100,100,90,82,94,85,Good
1,100,100,100,100,100,100,100,110,Good
1,100,99,100,100,99,98,99,98,Good
1,100,100,100,0,0,0,96,91,OK
1,100,100,100,100,100,100,97,108,Good
1,100,97,100,98,99,98,97,98,Good
1,100,100,100,100,97,96,0,0,High-risk
1,100,0,100,0,100,97,93,98,Good
1,100,100,100,100,98,100,100,110,Good
1,100,99,100,99,100,96,40,53,High-risk
1,100,100,100,100,100,100,64,100,OK
1,100,100,100,100,95,100,90,95,Good
1,100,100,100,100,100,97,97,69,OK
1,100,99,100,100,100,98,98,110,Good
1,100,100,100,100,98,98,110,95,Good
1,100,100,100,100,90,85,0,86,High-risk
1,100,97,100,100,100,97,91,95,Good
1,100,100,100,100,93,100,100,94,Good
1,100,100,100,100,100,100,100,100,Good
1,100,100,100,100,90,100,81,100,Good
1,100,100,100,100,100,98,101,98,Good
1,100,100,100,100,95,100,70,107,Good
1,100,97,100,100,98,0,96,0,High-risk
1,100,100,100,100,0,100,82,43,High-risk
1,100,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,97,97,110,Good
1,100,100,100,99,100,100,105,108,Good
1,100,100,100,99,97,98,83,90,OK
1,100,100,100,100,99,0,100,105,Good
