index,Lab 1 ,Lab 2 ,Lab 3 ,Lab 4 ,Lab 5 ,Lab 6,Lab 7 ,Lab 8 ,Lab 9 ,Lab 10 ,Lab 11 ,Lab 12 ,Assignment 1,Assignment 2 ,Assignment 3 ,Assignment 4 ,Midterm,Grade
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,Good
1,100,97,100,100,98,97,98,97,99,100,100,100,96,110,101,99,7,Good
1,100,0,100,100,95,0,100,0,0,0,0,0,0,106,0,0,3,High-risk
1,100,99,99,100,97,94,97,0,0,0,0,0,39,63,0,0,5,High-risk
1,100,100,100,100,95,0,93,100,100,0,100,100,62,63,0,0,4,High-risk
1,100,97,100,100,100,98,100,100,100,100,100,97,97,100,100,96,9,Good
1,100,100,100,100,100,98,100,100,100,100,100,99,99,100,98,101,8,Good
1,100,100,100,100,98,0,100,99,100,100,100,100,100,110,103,93,10,Good
1,100,100,100,100,100,100,100,0,100,0,100,100,99,88,79,57,3,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,99,105,110,101,6,Good
1,100,100,100,100,100,100,100,100,100,100,100,100,110,115,105,114,7,Good
1,100,100,100,100,95,100,100,100,100,100,100,100,40,0,0,0,6,High-risk
1,100,100,99,99,100,97,0,0,0,0,0,0,0,58,0,0,0,High-risk
1,100,97,100,100,100,100,100,100,100,100,100,100,100,100,97,102,9,Good
1,100,99,100,99,100,99,100,99,98,100,98,100,57,105,89,75,4,High-risk
1,100,100,100,100,100,98,100,99,100,100,100,98,97,109,108,94,9,Good
1,100,100,100,100,98,100,99,100,100,100,90,100,100,103,110,113,7,Good
1,100,100,100,100,95,100,100,100,100,100,100,100,89,105,69,97,6,OK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,100,100,100,100,100,99,99,100,100,100,100,53,69,78,56,4,High-risk
1,100,97,100,100,100,97,98,96,100,99,98,98,97,95,93,96,7,Good
1,100,100,100,100,97,96,99,100,100,100,100,98,86,104,85,88,7,OK
1,100,100,100,100,92,100,97,99,100,100,100,100,95,54,98,58,8,OK
1,100,100,100,100,90,82,100,100,97,100,100,100,94,85,42,100,2,High-risk
1,100,100,100,100,100,100,100,100,100,100,100,100,100,110,105,95,10,Good
1,100,99,100,100,99,98,100,100,100,100,100,98,99,98,103,117,7,Good
1,100,100,100,0,0,0,0,0,0,0,0,0,96,91,88,0,7,High-risk
1,100,100,100,100,100,100,99,99,100,100,100,100,97,108,110,100,10,Good
1,100,97,100,98,99,98,91,0,100,99,100,97,97,98,101,98,8,Good
1,100,100,100,100,97,96,99,0,0,0,0,0,0,0,0,0,0,High-risk
1,100,0,100,0,100,97,98,0,100,0,0,99,93,98,103,117,6,Good
