days online,views,contributions,questions,notes,answers,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Assignment 1,Assignment 2,Assignment 3,Grade
0,0,0,0,0,0,100,0,100,100,100,100,92,85,70,High-risk
1,1,0,0,0,0,0,100,100,100,99,100,87,112,100,OK
7,22,0,0,0,0,100,100,99.5,100,100,100,100,100,102,Good
0,0,0,0,0,0,100,100,100,100,100,100,95,100,105,Good
19,21,2,2,0,0,100,100,100,100,100,100,9,105,70,High-risk
13,26,4,3,0,1,100,100,100,100,100,100,100,82,80,OK
4,9,0,0,0,0,100,100,100,100,100,100,100,106,99,Good
3,11,0,0,0,0,100,100,100,98,99,99.5,98,90,85,OK
12,1,0,0,0,0,100,100,99.5,100,100,100,34,53,90,OK
0,0,0,0,0,0,100,100,100,99,0,99.5,29,107,69.5,High-risk
15,43,10,5,0,0,100,100,100,100,100,100,100,106,99,Good
14,11,0,0,0,0,100,100,100,100,100,100,100,95,105,Good
10,44,0,0,0,0,100,100,100,100,100,100,15,95,80,High-risk
0,0,0,0,0,0,100,50,100,0,100,0,0,0,0,High-risk
4,6,0,0,0,0,100,100,100,100,100,100,100,100,100,Good
0,0,0,0,0,0,100,100,100,100,99,100,95,110,110,Good
0,0,0,0,0,0,97,100,99,99,96,99,97,78,92,OK
0,0,0,0,0,0,100,99.5,100,100,100,100,61,97,98,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,109,0,High-risk
18,12,0,0,0,0,100,99,100,100,100,100,100,110,98,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,77.2142857142857,91.9065934065934,82.1043956043956,High-risk
4,4,0,0,0,0,100,100,100,100,100,100,100,100,97,Good
56,56,1,1,0,0,97,100,100,100,100,100,98,110,110,Good
1,6,0,0,0,0,97,100,100,99,99,100,100,93,0,High-risk
0,0,0,0,0,0,100,99,100,99.5,100,100,75,110,98,Good
18,12,0,0,0,0,100,99,100,100,100,100,100,110,110,Good
28,25,0,0,0,0,100,100,100,98,99,99,100,90,85,Good
0,0,0,0,0,0,100,50,100,100,100,100,0,0,57.5,High-risk
9,15,2,1,0,0,100,99,100,100,100,100,60,110,100,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,75,20,High-risk
0,0,0,0,0,0,100,99.5,100,100,100,100,70,97,98,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,99,96,96,Good
0,0,0,0,0,0,100,99,99.5,100,100,99.5,94,100,95,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,Good
0,0,0,0,0,0,100,99,99.5,99.5,100,99,76,100,100,High-risk
0,0,0,0,0,0,100,0,0,100,100,0,97,0,0,High-risk
1,1,0,0,0,0,100,100,100,100,100,100,95,65,57.5,High-risk
11,15,0,0,0,0,100,100,100,100,97,100,68,110,100,OK
0,0,0,0,0,0,100,100,100,100,100,100,94,110,99,High-risk
50,57,0,0,0,0,100,100,100,100,100,100,90,100,105,OK
0,0,0,0,0,0,100,99,100,99,0,99.5,95,71,64,High-risk
12,49,0,0,0,0,100,100,100,100,100,100,100,90,92,Good
15,48,0,0,0,0,100,100,100,100,100,100,26,90,70,High-risk
10,29,1,1,0,0,100,100,99,100,100,100,98,105,70,OK
2,15,1,1,0,0,100,100,100,100,100,100,68,80,92,High-risk
0,0,0,0,0,0,100,100,98.5,99,99,100,0,82,80,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,110,100,Good
47,58,0,0,0,0,100,100,100,100,100,100,100,100,106,Good
0,0,0,0,0,0,100,100,100,100,100,100,99,95,80,High-risk
1,4,0,0,0,0,100,100,100,100,100,100,0,109,0,High-risk
31,31,1,1,0,0,100,99,100,100,100,100,100,100,102,OK
0,0,0,0,0,0,97,100,100,100,99,100,97,112,99,Good
36,47,1,1,0,0,100,100,100,100,100,100,99,110,100,Good
