days online,views,contributions,questions,notes,answers,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Midterm,Grade
0,0,0,0,0,0,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,92,85,70,0,75,0,35,High-risk
1,1,0,0,0,0,0,100,100,100,99,100,0,100,100,100,99,100,100,100,0,87,112,100,102.5,47,91,48,OK
7,22,0,0,0,0,100,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,100,87,93,48,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,105,105,100,71,50,Good
19,21,2,2,0,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,9,105,70,95,75,0,0,High-risk
13,26,4,3,0,1,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,82,80,95,87.5,87,30,OK
4,9,0,0,0,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,106,99,100,115,87,30,Good
3,11,0,0,0,0,100,100,100,98,99,99.5,100,100,100,98,100,100,99,100,100,98,90,85,80.5,98,85,43,OK
12,1,0,0,0,0,100,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,34,53,90,100,87,96,34,OK
0,0,0,0,0,0,100,100,100,99,0,99.5,100,100,100,0,97,100,100,100,100,29,107,69.5,98,70,75.5,35,High-risk
15,43,10,5,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,106,99,100,115,100,49,Good
14,11,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,105,105,66,89,50,Good
10,44,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,95,80,97,87,25,46,High-risk
0,0,0,0,0,0,100,50,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High-risk
4,6,0,0,0,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,105,96,50,Good
0,0,0,0,0,0,100,100,100,100,99,100,99,100,100,100,100,100,100,100,100,95,110,110,109,108,90,40,Good
0,0,0,0,0,0,97,100,99,99,96,99,99,100,100,100,97,100,99,99,100,97,78,92,95.5,93.5,83,0,OK
0,0,0,0,0,0,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,61,97,98,99,90,0,0,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,109,0,94,0,0,48,High-risk
18,12,0,0,0,0,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,98,100,80,100,38,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,86,90,92,80,92,92.3791208791209,90,89,87,77.2142857142857,91.9065934065934,82.1043956043956,91.532967032967,77.1648351648352,73.9615384615385,37,High-risk
4,4,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99,90,96,36,Good
56,56,1,1,0,0,97,100,100,100,100,100,100,100,100,99,97,100,100,100,100,98,110,110,109,108,80,45,Good
1,6,0,0,0,0,97,100,100,99,99,100,100,100,100,100,99,99,100,100,0,100,93,0,92.5,0,0,44,High-risk
0,0,0,0,0,0,100,99,100,99.5,100,100,100,100,100,100,100,100,100,100,100,75,110,98,100,80,96,50,Good
18,12,0,0,0,0,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,100,110,99,50,Good
28,25,0,0,0,0,100,100,100,98,99,99,100,100,100,98,100,100,99,100,100,100,90,85,80.5,98,84,48,Good
0,0,0,0,0,0,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,57.5,77.5,100,82,45,High-risk
9,15,2,1,0,0,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,60,110,100,99,88,91.5,45,Good
0,0,0,0,0,0,100,100,100,100,100,100,0,100,100,0,100,100,100,0,0,100,75,20,90,45,91,47,High-risk
0,0,0,0,0,0,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,70,97,98,99,90,0,48,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,96,110,85,98,46,Good
0,0,0,0,0,0,100,99,99.5,100,100,99.5,100,100,100,100,100,100,100,100,100,94,100,95,107.5,99,89,31,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,100,105,95,92,47,Good
0,0,0,0,0,0,100,99,99.5,99.5,100,99,100,100,100,0,100,100,0,0,0,76,100,100,85,66,89,0,High-risk
0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,37,High-risk
1,1,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,65,57.5,0,0,84,35,High-risk
11,15,0,0,0,0,100,100,100,100,97,100,100,100,100,100,100,100,99,100,0,68,110,100,105,99.5,54,43,OK
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,110,99,35,67,92,0,High-risk
50,57,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,105,105,100,0,47,OK
0,0,0,0,0,0,100,99,100,99,0,99.5,0,100,100,0,97,100,99,100,100,95,71,64,83,38.5,80,45,High-risk
12,49,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,92,95,90,96,50,Good
15,48,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26,90,70,100,55,70,30,High-risk
10,29,1,1,0,0,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,98,105,70,95,75,91,33,OK
2,15,1,1,0,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,68,80,92,94,86.5,21,36,High-risk
0,0,0,0,0,0,100,100,98.5,99,99,100,98,100,100,99,100,100,97,100,100,0,82,80,96,87.5,77,42,High-risk
