days online,views,contributions,questions,notes,answers,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Design Document,Late Pass,Midterm,Final,Weighted Total,Survey 3,id,Grade
0,0,0,0,0,0,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,92,85,70,0,75,0,0,1,35,0,43.9,15,1,High-risk
1,1,0,0,0,0,0,100,100,100,99,100,0,100,100,100,99,100,100,100,0,87,112,100,102.5,47,91,92.5,2,48,26,89.69428572,11,2,OK
7,22,0,0,0,0,100,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,100,87,93,95,1,48,26,94.88785714,15,3,Good
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,105,105,100,71,100,1,50,25,94.91428571,15,4,Good
19,21,2,2,0,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,9,105,70,95,75,0,105,1,0,17,63.47857143,14,5,High-risk
13,26,4,3,0,1,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,82,80,95,87.5,87,90,1,30,24,86.56785715,15,6,OK
4,9,0,0,0,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,106,99,100,115,87,110,1,30,20,94.29285714,15,7,Good
3,11,0,0,0,0,100,100,100,98,99,99.5,100,100,100,98,100,100,99,100,100,98,90,85,80.5,98,85,101,2,43,28,90.73142857,5,8,OK
12,1,0,0,0,0,100,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,34,53,90,100,87,96,90,1,34,19,80.295,9,9,OK
0,0,0,0,0,0,100,100,100,99,0,99.5,100,100,100,0,97,100,100,100,100,29,107,69.5,98,70,75.5,110,1,35,19,79.29071429,20,10,High-risk
15,43,10,5,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,106,99,100,115,100,110,1,49,31,103.4428571,9,11,Good
14,11,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,105,105,66,89,95,1,50,33,97.25,20,12,Good
10,44,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,95,80,97,87,25,97,1,46,18,77.4,17,13,High-risk
0,0,0,0,0,0,100,50,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5,15,14,High-risk
4,6,0,0,0,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,105,96,100,1,50,29,99.37857143,15,15,Good
0,0,0,0,0,0,100,100,100,100,99,100,99,100,100,100,100,100,100,100,100,95,110,110,109,108,90,95,1,40,28,99.55857143,9,16,Good
0,0,0,0,0,0,97,100,99,99,96,99,99,100,100,100,97,100,99,99,100,97,78,92,95.5,93.5,83,110,2,0,24,83.96142857,20,17,OK
0,0,0,0,0,0,100,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,61,97,98,99,90,0,0,1,0,22,62.60214286,15,18,High-risk
0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,109,0,94,0,0,108,1,48,0,64.76428571,15,19,High-risk
18,12,0,0,0,0,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,98,100,80,100,105,1,38,28,96.94,20,20,Good
0,0,0,0,0,0,99,96.5494505494506,98.8076923076923,98.7362637362637,98,94.3406593406593,86,90,92,80,92,92.3791208791209,90,89,87,77.2142857142857,91.9065934065934,82.1043956043956,91.532967032967,77.1648351648352,73.9615384615385,87.8516483516484,1,37,22,0,15,21,High-risk
4,4,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99,90,96,93,1,36,31,95.73571429,19,22,Good
56,56,1,1,0,0,97,100,100,100,100,100,100,100,100,99,97,100,100,100,100,98,110,110,109,108,80,95,1,45,30,100.43,20,23,Good
1,6,0,0,0,0,97,100,100,99,99,100,100,100,100,100,99,99,100,100,0,100,93,0,92.5,0,0,36,2,44,16,59.155,20,24,High-risk
0,0,0,0,0,0,100,99,100,99.5,100,100,100,100,100,100,100,100,100,100,100,75,110,98,100,80,96,105,1,50,27,94.35642857,15,25,Good
