Late Pass,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Midterm,Letter Grade,Grade
1,104.75,104.5,97,88,105,108,10,6.5,10,9.5,9,8,5,13.070952381,A,Good
1,100.25,101,100.5,98,101,93,10,2.5,3,3,8.75,4,7,10.380952381,B,OK
0,105,102.5,89.5,79,94,104,10,4,7,4,8,4,7,8.7142857143,B,OK
1,103,107.75,113,102,111,100.5,10,10,6,5.5,10,9,7,14.1419047619,A+,Good
0,74.5,90,106,90,100,98,4,6,7,3,9,8.5,4,9,C+,High-risk
0,110,98,101.5,90,103,96,10,9,10,5,9.5,8.5,5,14.2857142857,A,Good
0,97,93.5,79,95,103,99,6,5,6,2.5,10,10,5,6.5714285714,B,OK
0,57.5,46.5,76,88,103,87,7,7,0,3,10,9,2,10.1428571429,C-,High-risk
1,99,75.75,100,89,96,101,10,8,10,3,10,9.5,4,12.1428571429,B+,OK
0,101.5,87,100,99,100,98,10,9,10,5.5,10,10,5,13.929047619,A-,OK
1,85,62.25,98.5,45.5,83,97,10,6.5,2,9,10,5.5,8,9.7619047619,C,High-risk
0,79,92,95.5,89,78,96,10,10,7,9.5,10,10,6,10.4285714286,B,OK
0,102,98,93,89.5,80,85.5,10,1.5,4,2.5,3.5,8.5,2,8.4285714286,C,High-risk
0,73,64,82.5,84,89,51,8,6,0,9.5,10,8.5,4,6.5476190476,F,High-risk
0,95.5,92.5,97.5,98.5,95,102,10,10,10,5.5,9,10,10,14.570952381,A,Good
1,99,79,91.5,89,79,104,10,0,6,0,7.5,9,4,10.2857142857,B-,OK
1,62.25,98,85.5,77,90,93,10,9,10,10,0,7,1,9.2857142857,C+,High-risk
1,98,99.75,105,95,107,109,10,5.5,10,4.5,4,5.5,4.5,10.380952381,A-,OK
1,83,0,82.5,91,108,76,0,0,0,0,0,0,0,0.8571428571,F,High-risk
1,106,108,103,104,102,106,10,10,9,5.5,10,10,8,15,A+,Good
1,106,105.75,109,104,88,104,10,9,6,10,8,10,6.5,9.1428571429,A,Good
1,56,93,97,87.5,93,85,10,0.5,7,4,8,7,0,5.2857142857,C-,High-risk
0,85.5,95.5,92,96,105,90,5,8.5,10,4.5,7,9,7,10.1428571429,B-,OK
1,98.25,84.5,96,66,93,82.5,8,7.5,2,6,6,9,1,6.5238095238,C-,High-risk
