index,Homework 1,Quiz 1 ,Grade
1,77.5,10,OK
2,101,10,Good
3,72,10,High-risk
4,0,0,High-risk
5,0,5,High-risk
6,102.25,10,OK
7,102.75,10,OK
8,106,10,Good
9,98.25,10,Good
10,110,7,High-risk
11,97.5,10,Good
12,104,7,Good
13,0,0,High-risk
14,34,7,High-risk
15,99,8,Good
16,64,5,High-risk
17,105,10,OK
18,99.5,7,OK
19,73.75,10,High-risk
20,102,10,High-risk
21,70,8,High-risk
22,89,10,High-risk
23,110,7,OK
24,73,5,High-risk
25,97.5,10,Good
26,68.75,5,High-risk
27,100,10,Good
28,98,9.5,Good
29,55,7,High-risk
30,83,7,OK
31,110,10,Good
32,91,9,OK
33,85,0,High-risk
34,85,0,High-risk
35,97,9,OK
36,92,9,OK
37,102,10,Good
38,100,10,Good
39,105,8,OK
40,100,8,Good
41,100,10,Good
42,27,10,High-risk
43,100,7,OK
44,90,10,High-risk
45,98,0,OK
46,96,5,Good
47,95,0,OK
48,104,5,Good
49,70,8,High-risk
50,82,4,OK
51,83,7.5,OK
52,90,0,High-risk
53,81,0,High-risk
54,87,7,Good
55,101,5,OK
56,86,8,High-risk
57,50,4,High-risk
58,96,10,OK
59,105,0,OK
60,82,3,High-risk
61,108,10,OK
62,72,8,Good
63,73,10,Good
64,104,10,OK
65,94,8,OK
66,91.5,0,High-risk
67,51,7,High-risk
68,93,10,Good
69,75,9.5,OK
70,65,0,OK
71,88,8,OK
72,103,10,OK
73,91.5,8,Good
74,110,10,Good
75,101,10,Good
76,98,10,Good
77,88,10,High-risk
78,105,7,Good
79,95,8,OK
80,93,5,High-risk
81,105,10,Good
82,85,10,OK
83,0,5,High-risk
84,91,7,High-risk
85,108,10,OK
86,64.5,8,High-risk
87,80,4,High-risk
88,85,5,Good
89,107,7,OK
90,109,10,Good
91,92.5,10,Good
92,83,6,OK
93,99,9,Good
94,98,10,Good
95,94,0,High-risk
96,93,10,Good
97,108,8,Good
98,92,5,OK
99,91,4,OK
100,103,10,Good
101,73,10,OK
102,87,0,Good
103,77,10,OK
104,103,9,Good
105,94.5,8,OK
106,94,0,OK
107,105,9,Good
108,77,5,OK
109,93,9,Good
110,101,9,OK
111,66,0,High-risk
112,102,10,Good
113,108,10,Good
114,81,9,High-risk
115,94,7,High-risk
116,88,6,OK
117,0,0,High-risk
118,103,10,Good
119,100,10,OK
120,106,9,High-risk
121,39,8.5,High-risk
122,0,0,High-risk
123,88,10,Good
124,96.5,7,Good
125,104,10,Good
126,100,6,Good
127,64,10,High-risk
128,87,5,OK
129,108,9,Good
130,0,0,High-risk
131,104,7,Good
132,93,5,High-risk
133,58,4,High-risk
134,85,5,Good
135,86,5,OK
136,95,5,High-risk
137,81,3,Good
138,91,5,Good
139,86,6,High-risk
140,87,6,OK
141,53,0,High-risk
142,0,0,High-risk
143,93,8,Good
144,83,6,OK
145,96,7,OK
146,81,7,High-risk
147,94,9,OK
148,52,0,High-risk
149,98,7,Good
150,0,5,High-risk
151,104,5,OK
152,102,7,Good
153,105,7,Good
154,90,5,OK
155,89,7,OK
156,101,7,Good
157,102,4,Good
158,0,0,High-risk
159,76,3,High-risk
160,91,4,OK
161,101,5,OK
162,51,5,High-risk
163,90,6,Good
164,91,7,OK
165,93,5,OK
166,74.5,7,Good
167,89,6,High-risk
168,104,10,Good
169,104,7,Good
170,93,8,Good
171,99,10,Good
172,76,6,High-risk
173,97.5,7,OK
174,101,6,Good
175,94,8,High-risk
176,91,3,High-risk
177,89,6,Good
178,79,5,OK
179,97,5,Good
180,84,3,High-risk
181,55,5,High-risk
182,69.5,5,High-risk
183,75,5,High-risk
184,43,5,High-risk
185,81,4,High-risk
186,56,5,High-risk
187,103,7,Good
188,98,3,High-risk
189,101,5,OK
190,93,0,High-risk
191,103,0,High-risk
192,94,6,High-risk
193,91,4,OK
194,62,1,High-risk
195,91.5,7,OK
196,63,4,OK
197,92,2,OK
198,58,2,High-risk
199,68,5,High-risk
200,100,7,OK
201,77.5,5,OK
202,97,4,High-risk
203,80,5,OK
204,94,3,OK
205,81,6,High-risk
206,75,2,High-risk
207,53,4,High-risk
208,73,4,OK
209,102,6,Good
210,79.5,6,OK
211,77,6,High-risk
212,91,7,Good
213,103,10,Good
214,94,1,High-risk
215,88,2,OK
216,103,6,Good
217,102,4,Good
218,95,4,OK
219,100,4,OK
220,104,2,OK
221,94,3,High-risk
222,83,5,Good
223,107,10,OK
224,105,0,OK
225,75,5,High-risk
226,56,3,High-risk
227,105,6,High-risk
228,90,6,High-risk
229,89,10,OK
230,108,10,Good
231,99,10,Good
232,90,7,High-risk
233,71,5,High-risk
234,105,6,OK
235,92,4,OK
236,0,0,High-risk
237,88.2,6,High-risk
238,70,3,High-risk
239,98,6,Good
240,96,7,OK
241,43,1,High-risk
242,72,6,High-risk
243,84,8,High-risk
244,98,10,Good
245,89,5,High-risk
246,100,10,Good
247,100,10,OK
248,99,2,OK
249,74,0,High-risk
250,79,6,OK
251,107,10,Good
252,94,10,OK
253,102,10,Good
254,83,10,Good
255,96,6,High-risk
256,97,5,High-risk
257,108,10,Good
258,97,8,High-risk
259,103,10,OK
260,66,1,High-risk
261,86,6,OK
262,101,7,High-risk
263,102,7,Good
264,102,6,OK
265,21,1,High-risk
266,81,5,OK
267,109,10,Good
268,93,7,OK
269,102,10,Good
270,93,6,High-risk
271,101,8,OK
272,109,10,Good
273,80,6,High-risk
274,62,4,High-risk
275,92,10,High-risk
276,57,4,High-risk
277,83,10,High-risk
278,70,6,High-risk
279,87,6,High-risk
280,91,6,High-risk
281,109,10,High-risk
282,101,7,High-risk
283,93,7,High-risk
284,47,3,High-risk
285,53,10,High-risk
286,96,10,Good
287,93,6,Good
288,73,6,High-risk
289,90,4,High-risk
290,104,10,OK
291,83,6,High-risk
292,108,10,Good
293,69,2,High-risk
294,95,6,OK
295,103,6,Good
296,79,7,High-risk
297,57,10,High-risk
298,0,0,High-risk
299,89,8,High-risk
300,109,6,Good
301,98,8,OK
302,95,7,OK
303,110,10,Good
304,0,0,High-risk
305,103,6,High-risk
306,97,8,OK
307,78,5,High-risk
308,92,10,Good
309,88,4,High-risk
310,81,3,High-risk
311,71,5,High-risk
312,65,7,High-risk
313,43,0,High-risk
314,97,9,OK
315,90,5,OK
316,72,0,High-risk
317,83,3,High-risk
318,53,7,High-risk
319,69,10,High-risk
320,87,7,High-risk
321,95,10,Good
322,57,9,High-risk
323,40,10,High-risk
324,91,10,Good
325,102,3,OK
326,47,1,High-risk
327,102,10,Good
328,70,0,High-risk
329,88,0,High-risk
330,31,7,High-risk
331,95,9,High-risk
332,93,10,OK
333,84,10,OK
334,19,0,High-risk
335,84,5,OK
336,88,0,High-risk
337,99,1,OK
338,104,10,Good
339,96,5,OK
340,92,6,High-risk
341,85,10,Good
342,87,7,High-risk
343,24,0,High-risk
344,101,10,Good
345,94,10,Good
346,69,5,High-risk
347,98,10,Good
348,78,5,High-risk
349,102,10,Good
350,70,5,OK
351,91,0,High-risk
352,100,1,High-risk
353,88,9,High-risk
354,72,9,High-risk
355,78,5,High-risk
356,100,4,High-risk
357,102,9,OK
358,51,5,High-risk
359,100,8,OK
360,67,3,High-risk
361,102,9,High-risk
362,76,10,High-risk
363,96,10,Good
364,103,9,Good
365,80,10,High-risk
366,81,8,OK
367,71,5,High-risk
368,76,7,High-risk
369,93,10,Good
370,84,7,High-risk
371,87,9,High-risk
372,102,10,Good
373,104.75,10,Good
374,100.25,10,OK
375,105,10,OK
376,103,10,Good
377,74.5,4,High-risk
378,110,10,Good
379,97,6,OK
380,57.5,7,High-risk
381,99,10,OK
382,101.5,10,Good
383,85,10,High-risk
384,79,10,OK
385,102,10,High-risk
386,73,8,High-risk
387,95.5,10,Good
388,99,10,OK
389,62.25,10,High-risk
390,98,10,Good
391,83,0,High-risk
392,106,10,Good
393,106,10,Good
394,56,10,High-risk
395,85.5,5,OK
396,98.25,8,High-risk
397,81,6,High-risk
398,86.5,10,High-risk
399,84,10,Good
400,90,5,OK
401,97.5,8,OK
402,87,10,OK
403,52.25,10,High-risk
404,99.5,10,OK
405,93,7,High-risk
406,99.5,10,Good
407,100,8,OK
408,103,10,Good
409,88,10,High-risk
410,94,10,OK
411,95.5,10,High-risk
412,69,10,High-risk
413,94.25,10,Good
414,97,10,OK
415,90,10,OK
416,96,6,High-risk
417,80.5,10,High-risk
418,88.5,10,OK
419,82.75,10,High-risk
420,100,7,High-risk
421,105,10,Good
422,72.25,6,High-risk
423,82.5,10,High-risk
424,83,10,High-risk
425,108,10,Good
426,73.75,10,High-risk
427,104.75,5,High-risk
428,98,0,OK
429,74.5,10,High-risk
430,87.75,10,High-risk
431,69,9,High-risk
432,89.5,10,OK
433,96.25,10,OK
434,91.75,10,OK
435,0,10,High-risk
436,72,10,High-risk
437,85.5,0,High-risk
438,96,7,OK
439,79.5,10,High-risk
440,75.25,7,High-risk
441,98.5,10,OK
442,81.5,8,High-risk
443,103.75,8,High-risk
444,72.5,8,OK
445,78,0,High-risk
446,75.75,7,High-risk
447,99,10,OK
448,92,10,OK
449,71,5,High-risk
450,91.5,10,High-risk
451,53,10,High-risk
452,92,7,High-risk
453,48.75,5,High-risk
454,82.5,0,High-risk
455,105.5,10,OK
456,73,7,High-risk
457,105,10,Good
458,81,10,High-risk
459,83.75,7,High-risk
460,72.75,10,High-risk
461,63.25,10,High-risk
462,70,10,High-risk
463,88,4,OK
464,0,7,High-risk
465,72.5,10,High-risk
466,31.5,0,High-risk
467,93.75,10,High-risk
468,85,10,OK
469,69.5,10,High-risk
470,73,3,High-risk
471,97,5,OK
472,89,7,High-risk
473,99,10,High-risk
474,81.25,10,High-risk
475,59.5,8,High-risk
476,101,10,OK
477,90,10,OK
478,92,7,OK
479,92,6,High-risk
480,84,0,High-risk
481,85.5,9,High-risk
482,79,10,High-risk
483,10,7,High-risk
484,89,10,OK
485,77,4,High-risk
486,67,6,High-risk
487,85,2,High-risk
488,78.5,10,Good
489,100,8,OK
490,88,8,High-risk
491,31,5,High-risk
492,41.5,8,High-risk
493,102,10,Good
494,92.5,7,OK
495,90,10,OK
496,91,8,OK
497,87,10,OK
498,62,7,High-risk
499,87,7,High-risk
500,57,10,OK
501,70.5,10,High-risk
502,91,0,OK
503,87,9,OK
504,92,10,OK
505,104,10,OK
506,80.5,7,OK
507,79,10,Good
508,76,9,High-risk
509,73,10,High-risk
510,85,8,Good
511,95,8,High-risk
512,75,10,OK
513,80,9,OK
514,88,8,OK
515,98,8,Good
516,73.5,8,High-risk
517,77,6,High-risk
518,85,9,OK
519,66,5,High-risk
520,88,8,High-risk
521,75.5,6,High-risk
522,101,10,Good
523,68,10,OK
524,98,8,OK
525,88,9,OK
526,47,8,High-risk
527,93,10,Good
528,96,6,OK
529,84,9,OK
530,84,8,OK
531,99,8,Good
532,100,10,Good
533,73.5,8,High-risk
534,107,10,Good
535,89.5,9,OK
536,94,9,OK
537,61,10,High-risk
