index,Homework 1,Homework 2,Quiz 1 ,Quiz 2 ,Quiz 3,Grade
1,77.5,85,10,7.5,6,OK
2,101,96,10,10,6,Good
3,72,88,10,9,10,High-risk
4,0,0,0,0,0,High-risk
5,0,81,5,0,4,High-risk
6,102.25,88,10,4,0,OK
7,102.75,89.5,10,10,9,OK
8,106,108,10,10,10,Good
9,98.25,104,10,10,6,Good
10,110,107,7,2.5,2,High-risk
11,97.5,110,10,8.5,10,Good
12,104,95,7,6,10,Good
13,0,74,0,2,2,High-risk
14,34,0,7,0,0,High-risk
15,99,99,8,7.5,10,Good
16,64,66,5,3,3,High-risk
17,105,102.75,10,7,0,OK
18,99.5,95.75,7,10,10,OK
19,73.75,105.5,10,4.5,4,High-risk
20,102,98,10,6.5,8,High-risk
21,70,80,8,5,9,High-risk
22,89,73,10,1,3,High-risk
23,110,100.5,7,6,10,OK
24,73,97,5,8,9,High-risk
25,97.5,99,10,6.5,8,Good
26,68.75,99.5,5,10,6,High-risk
27,100,100,10,10,10,Good
28,98,101,9.5,10,9,Good
29,55,0,7,0,0,High-risk
30,83,100,7,1.5,9,OK
31,110,106,10,10,10,Good
32,91,87,9,2.5,7,OK
33,85,91,0,5,0,High-risk
34,85,77,0,0,0,High-risk
35,97,96,9,6.5,4,OK
36,92,85,9,6,10,OK
37,102,96,10,9,3,Good
38,100,96,10,10,10,Good
39,105,103,8,7.5,8,OK
40,100,105,8,6,9,Good
41,100,100,10,10,10,Good
42,27,74,10,6,9,High-risk
43,100,96,7,7,7,OK
44,90,86,10,3.5,10,High-risk
45,98,98,0,8,6,OK
46,96,93,5,9.8,5,Good
47,95,94,0,5.5,4,OK
48,104,80,5,10,9,Good
49,70,70,8,8,5,High-risk
50,82,86,4,4,4,OK
51,83,88,7.5,7,5,OK
52,90,93,0,0,0,High-risk
53,81,80,0,9.5,8.5,High-risk
54,87,98,7,10,9,Good
55,101,79,5,7.5,7,OK
56,86,76,8,3.5,10,High-risk
57,50,0,4,4.5,8,High-risk
58,96,96,10,8,4,OK
59,105,88,0,9.5,1,OK
60,82,95,3,2,5,High-risk
61,108,95,10,9.5,8,OK
62,72,105,8,9.5,7,Good
63,73,86,10,9.5,9,Good
64,104,98,10,7,0,OK
65,94,92,8,9,2.5,OK
66,91.5,92,0,8,8,High-risk
67,51,82,7,6,8,High-risk
68,93,102,10,10,5,Good
69,75,90,9.5,7.5,9,OK
70,65,89,0,6,6,OK
71,88,96,8,10,4,OK
72,103,103,10,9.5,10,OK
73,91.5,92,8,10,10,Good
74,110,98,10,9.5,9,Good
75,101,92,10,7.5,6,Good
76,98,102,10,10,10,Good
77,88,45,10,4.5,0,High-risk
78,105,110,7,5.5,9,Good
79,95,94,8,9,4,OK
80,93,94,5,6.5,0,High-risk
81,105,108,10,10,8,Good
82,85,96,10,10,8,OK
83,0,78,5,0,0,High-risk
84,91,78,7,10,3,High-risk
85,108,91,10,8,9,OK
86,64.5,17,8,10,10,High-risk
