index,Homework 1,Homework 2,Homework 3,Quiz 1 ,Quiz 2 ,Quiz 3,Quiz 4 ,Quiz 5 ,Midterm,Grade
1,77.5,85,102,10,7.5,6,0,10,13.42857143,OK
2,101,96,97,10,10,6,10,9.5,10.71428571,Good
3,72,88,80.5,10,9,10,4,10,12.28571429,High-risk
4,0,0,0,0,0,0,3,0,0,High-risk
5,0,81,0,5,0,4,2,6.75,5.714285714,High-risk
6,102.25,88,110,10,4,0,0,9,8.714285714,OK
7,102.75,89.5,90,10,10,9,9,10,9,OK
8,106,108,94.5,10,10,10,9.5,10,11.57142857,Good
9,98.25,104,81,10,10,6,6,10,11.28571429,Good
10,110,107,99.5,7,2.5,2,4,0,8.5,High-risk
11,97.5,110,99,10,8.5,10,9,10,13.28571429,Good
12,104,95,105,7,6,10,9,8.5,15,Good
13,0,74,101.5,0,2,2,8,9,6.857142857,High-risk
14,34,0,0,7,0,0,0,0,0,High-risk
15,99,99,94.5,8,7.5,10,4,10,14.14285714,Good
16,64,66,52,5,3,3,2,5.5,3.619047619,High-risk
17,105,102.75,89.5,10,7,0,7,10,9.047619048,OK
18,99.5,95.75,96.5,7,10,10,5,10,9.857142857,OK
19,73.75,105.5,87,10,4.5,4,8,9.5,5.714285714,High-risk
20,102,98,101.5,10,6.5,8,3,10,6.19047619,High-risk
21,70,80,83.5,8,5,9,1.5,6,4.857142857,High-risk
22,89,73,87.5,10,1,3,3,9.5,6.857142857,High-risk
23,110,100.5,105,7,6,10,2,3,7.714285714,OK
24,73,97,73,5,8,9,7,10,9.571428571,High-risk
25,97.5,99,102,10,6.5,8,9,10,10.95238095,Good
26,68.75,99.5,88.5,5,10,6,1,9,5.428571429,High-risk
27,100,100,100,10,10,10,10,10,15,Good
28,98,101,106.5,9.5,10,9,10,8,15,Good
29,55,0,0,7,0,0,0,0,0,High-risk
30,83,100,106,7,1.5,9,8.5,5,8.14285714,OK
31,110,106,105.5,10,10,10,6.5,8,13.7142857,Good
32,91,87,113,9,2.5,7,8,0,11.7857143,OK
33,85,91,91.5,0,5,0,0,0,8.57142857,High-risk
34,85,77,89,0,0,0,0,0,12.4285714,High-risk
35,97,96,90,9,6.5,4,6.5,0,9,OK
36,92,85,93,9,6,10,10,0,13.2857143,OK
37,102,96,113,10,9,3,10,0,12.8571429,Good
38,100,96,103.5,10,10,10,10,10,12,Good
39,105,103,75.5,8,7.5,8,6.5,0,13.2857143,OK
40,100,105,115,8,6,9,0,0,12,Good
41,100,100,110,10,10,10,10,0,13.2857143,Good
42,27,74,95,10,6,9,10,8,12.4285714,High-risk
43,100,96,91.5,7,7,7,8.5,8,8.57142857,OK
44,90,86,86,10,3.5,10,5,0,9,High-risk
45,98,98,97.5,0,8,6,0,0,13.7142857,OK
46,96,93,98,5,9.8,5,10,8,13.2857143,Good
47,95,94,98,0,5.5,4,10,9,13.2857143,OK
48,104,80,95,5,10,9,10,10,13.2857143,Good
49,70,70,87,8,8,5,10,8,12,High-risk
50,82,86,97.5,4,4,4,8.5,0,12,OK
51,83,88,93,7.5,7,5,0,9,10.2857143,OK
52,90,93,0,0,0,0,0,0,3.42857143,High-risk
53,81,80,82,0,9.5,8.5,0,0,6.42857143,High-risk
54,87,98,107,7,10,9,10,7,12.4285714,Good
55,101,79,81,5,7.5,7,6.5,0,11.5714286,OK
56,86,76,92.5,8,3.5,10,6.5,0,10.7142857,High-risk
57,50,0,64,4,4.5,8,8.5,0,4.71428571,High-risk
58,96,96,88,10,8,4,0,0,9.85714286,OK
59,105,88,94.5,0,9.5,1,10,0,10.7142857,OK
60,82,95,100.5,3,2,5,5,0,5.14285714,High-risk
61,108,95,107.5,10,9.5,8,10,7,9.42857143,OK
62,72,105,99,8,9.5,7,9.5,7,13.7142857,Good
63,73,86,90,10,9.5,9,10,10,14.5714286,Good
64,104,98,109,10,7,0,0,0,13.2857143,OK
65,94,92,93,8,9,2.5,8,7,8.57142857,OK
66,91.5,92,84,0,8,8,10,0,9.42857143,High-risk
67,51,82,0,7,6,8,10,0,12.4285714,High-risk
68,93,102,101,10,10,5,8.5,10,13.7142857,Good
69,75,90,92,9.5,7.5,9,8.5,9,13.2857143,OK
70,65,89,103.5,0,6,6,0,0,8.14285714,OK
71,88,96,99,8,10,4,8.5,0,12,OK
72,103,103,101,10,9.5,10,10,7,11.1428571,OK
73,91.5,92,103.5,8,10,10,6.5,8,13.2857143,Good
74,110,98,98,10,9.5,9,8,0,12,Good
75,101,92,97,10,7.5,6,10,9,13.2857143,Good
76,98,102,103,10,10,10,10,10,15,Good
77,88,45,80.5,10,4.5,0,0,0,9.85714286,High-risk
78,105,110,110,7,5.5,9,0,0,13.7142857,Good
79,95,94,82,8,9,4,8,10,9.85714286,OK
80,93,94,90,5,6.5,0,0,0,5.57142857,High-risk
81,105,108,113,10,10,8,7,0,14.5714286,Good
82,85,96,107,10,10,8,10,7,8.57142857,OK
83,0,78,0,5,0,0,0,0,0,High-risk
84,91,78,79,7,10,3,10,0,2.57142857,High-risk
85,108,91,80,10,8,9,10,6,13.2857143,OK
86,64.5,17,75.5,8,10,10,10,10,6.85714286,High-risk
87,80,84,82,4,4.5,3,9.5,0,8.57142857,High-risk
88,85,98,107,5,9.5,8,10,0,12,Good
89,107,91,93,7,9,8,10,0,9.85714286,OK
90,109,106,98,10,10,10,10,2,13.5,Good
91,92.5,99,93,10,10,9,10,9,15,Good
92,83,84,102,6,6.5,5,10,0,9.42857143,OK
93,99,99,102.5,9,6.5,7,0,8,11.5714286,Good
